Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
Hancock Prospecting Australian Swimming Trials 2021,57.45,6/13/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,1,Adelaide,AUS,0:0:57:45
Olympic Games Tokyo 2020,57.47,7/27/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,2,Tokyo,JPN,0:0:57:47
17th FINA World Championships 2017,57.47,7/24/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,7,Budapest,HUN,0:0:57:47
Olympic Games Rio 2016,57.55,8/6/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,8,Rio de Janeiro,BRA,0:0:57:55
Olympic Games Tokyo 2020,57.56,7/24/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,9,Tokyo,JPN,0:0:57:56
18th FINA World Championships 2019,57.57,7/28/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,3,Gwangju,KOR,0:0:57:57
18th FINA World Championships 2019,57.59,7/21/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,10,Gwangju,KOR,0:0:57:59
Olympic Games Rio 2016,57.62,8/6/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,11,Rio de Janeiro,BRA,0:0:57:62
Sydney Open 2021,57.63,5/14/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,4,Sydney,AUS,0:0:57:63
Olympic Games Tokyo 2020,57.63,7/25/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,12,Tokyo,JPN,0:0:57:63
19th FINA World Championships Budapest 2022,57.65,6/19/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,5,Budapest,HUN,0:0:57:65
European Championships 2021,57.66,5/18/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,13,Budapest,HUN,0:0:57:66
European Championships 2021,57.67,5/17/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,14,Budapest,HUN,0:0:57:67
Olympic Swimming Trials 2020,57.70,6/19/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,6,Toronto,CAN,0:0:57:70
British National Swimming Championships (50m),57.70,4/14/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,15,London,GBR,0:0:57:70
Olympic Games Tokyo 2020,57.72,7/27/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,7,Tokyo,JPN,0:0:57:72
17th FINA World Championships 2017,57.75,7/23/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,16,Budapest,HUN,0:0:57:75
Phillips 66 International Team Trials 2022,57.76,4/29/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,8,Greensboro,USA,0:0:57:76
British National Championships (50m),57.79,4/18/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,17,Sheffield,GBR,0:0:57:79
Olympic Games Tokyo 2020,57.80,7/24/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,18,Tokyo,JPN,0:0:57:80
Olympic Games Tokyo 2020,57.86,7/26/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,9,Tokyo,JPN,0:0:57:86
British Swimming Championships (50m),57.87,4/16/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,19,Glasgow,GBR,0:0:57:87
Olympic Games Tokyo 2020,57.88,7/25/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,10,Tokyo,JPN,0:0:57:88
European Championships 2018,57.89,8/3/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,20,Glasgow,GBR,0:0:57:89
Olympic Games Tokyo 2020,57.90,8/1/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,11,Tokyo,JPN,0:0:57:90
US Olympic Team Trials - Wave II,57.92,6/14/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,12,Omaha,USA,0:0:57:92
British National Championships (50m),57.92,4/17/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,21,London,GBR,0:0:57:92
McDonald’s Queensland Championships 2020,57.93,12/13/2020,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,13,Brisbane,AUS,0:0:57:93
Olympic Games Tokyo 2020,57.96,7/25/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,14,Tokyo,JPN,0:0:57:96
US National Championships (50m),58.00,7/28/2018,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,15,Irvine,USA,0:0:58:00
Olympic Games Tokyo 2020,58.00,7/26/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,22,Tokyo,JPN,0:0:58:00
Olympic Games Tokyo 2020,58.01,8/1/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,16,Tokyo,JPN,0:0:58:01
European Championships 2018,58.04,8/3/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,23,Glasgow,GBR,0:0:58:04
Olympic Games Tokyo 2020,58.05,8/1/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,17,Tokyo,JPN,0:0:58:05
Olympic Games Tokyo 2020,58.05,7/27/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,18,Tokyo,JPN,0:0:58:05
European Championships 2021,58.08,5/23/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,19,Budapest,HUN,0:0:58:08
Olympic Games Tokyo 2020,58.09,7/26/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,20,Tokyo,JPN,0:0:58:09
17th FINA World Championships 2017,58.10,7/25/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,21,Budapest,HUN,0:0:58:10
European Championships 2021,58.10,5/18/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,24,Budapest,HUN,0:0:58:10
Olympic Games Tokyo 2020,58.11,7/26/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,22,Tokyo,JPN,0:0:58:11
Swimming QLD Prep meet,58.11,11/14/2020,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,23,Brisbane,AUS,0:0:58:11
13th FINA World Championships 2009,58.12,7/28/2009,Women 100 Backstroke LCM Female,GBR,Great Britain,"SPOFFORTH, Gemma",F,11/17/1987,24,Rome,ITA,0:0:58:12
Olympic Swimming Trials 2020,58.13,6/19/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,25,Toronto,CAN,0:0:58:13
Edinburgh International Swim Meet,58.13,3/14/2020,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,25,Edinburgh,GBR,0:0:58:13
Sydney Open 2021,58.14,5/14/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,26,Sydney,AUS,0:0:58:14
US Olympic Team Trials - Wave II,58.14,6/13/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,4/18/1999,26,Omaha,USA,0:0:58:14
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2019,58.15,6/15/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,27,Barcelona,ESP,0:0:58:15
Canadian Swimming Trials 2019,58.16,4/3/2019,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,27,Toronto,CAN,0:0:58:16
Olympic Games Tokyo 2020,58.17,7/25/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,28,Tokyo,JPN,0:0:58:17
European Championships 2021,58.18,5/21/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,29,Budapest,HUN,0:0:58:18
TYR Pro Swim Series Des Moines 2020,58.18,3/7/2020,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,30,Des Moines,USA,0:0:58:18
17th FINA World Championships 2017,58.18,7/24/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,31,Budapest,HUN,0:0:58:18
13th FINA World Championships 2009,58.18,7/28/2009,Women 100 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,5/8/1990,32,Rome,ITA,0:0:58:18
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2021,58.18,6/6/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,28,Barcelona,ESP,0:0:58:18
16th FINA World Championships 2015,58.18,8/2/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,29,Kazan,RUS,0:0:58:18
Canadian Swimming Trials 2019,58.19,4/3/2019,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,33,Toronto,CAN,0:0:58:19
Olympic Games Tokyo 2020,58.19,7/25/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,30,Tokyo,JPN,0:0:58:19
US Olympic Team Trials - Wave II,58.19,6/13/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,4/18/1999,31,Omaha,USA,0:0:58:19
Canadian Swimming Trials 2017,58.21,4/6/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,34,Victoria,CAN,0:0:58:21
17th FINA World Championships 2017,58.21,7/23/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,32,Budapest,HUN,0:0:58:21
19th FINA World Championships Budapest 2022,58.22,6/20/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,35,Budapest,HUN,0:0:58:22
British Swimming Glasgow Open Meet,58.22,6/4/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,33,Glasgow,GBR,0:0:58:22
Olympic Games London 2012,58.23,7/29/2012,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,36,London,GBR,0:0:58:23
British National Swimming Championships (50m),58.24,4/15/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,37,London,GBR,0:0:58:24
TYR Pro Swim Series Knoxville 2020,58.26,1/18/2020,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,38,Knoxville,USA,0:0:58:26
16th FINA World Championships 2015,58.26,8/4/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,39,Kazan,RUS,0:0:58:26
European Championships 2022,58.26,8/12/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,34,Rome,ITA,0:0:58:26
19th FINA World Championships Budapest 2022,58.26,6/19/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,35,Budapest,HUN,0:0:58:26
European Championships 2021,58.26,5/17/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,36,Budapest,HUN,0:0:58:26
Olympic Games Tokyo 2020,58.28,7/25/2021,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,37,Tokyo,JPN,0:0:58:28
Phillips 66 International Team Trials 2022,58.29,4/29/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,40,Greensboro,USA,0:0:58:29
13th Pan Pacific Championships 2018,58.29,8/10/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,41,Tokyo,JPN,0:0:58:29
58th International Trophy “Settecolli”,58.29,6/25/2021,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,38,Rome,ITA,0:0:58:29
Meeting International FFN - Golden Tour,58.29,3/24/2019,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,8/2/1994,39,Marseille,FRA,0:0:58:29
19th FINA World Championships Budapest 2022,58.31,6/19/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,42,Budapest,HUN,0:0:58:31
Victorian Open Championships 2022,58.31,2/19/2022,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,43,Melbourne,AUS,0:0:58:31
Atlanta Classic 2021,58.31,5/15/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,10/12/1994,44,Atlanta,USA,0:0:58:31
17th FINA World Championships 2017,58.31,7/30/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,45,Budapest,HUN,0:0:58:31
Olympic Games London 2012,58.33,7/30/2012,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,46,London,GBR,0:0:58:33
Olympic Games Tokyo 2020,58.33,7/26/2021,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,40,Tokyo,JPN,0:0:58:33
FINA/airweave Swimming World Cup 2015,58.34,11/3/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,47,Doha,QAT,0:0:58:34
NSW Open State Championships 2022,58.35,3/5/2022,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,48,Sydney,AUS,0:0:58:35
US Olympic Team Trials - Wave II,58.35,6/15/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,49,Omaha,USA,0:0:58:35
US Olympic Team Trials - Wave II,58.35,6/14/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,50,Omaha,USA,0:0:58:35
European Championships 2016,58.36,5/17/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,41,London,GBR,0:0:58:36
FINA/airweave Swimming World Cup 2015,58.37,10/29/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,51,Tokyo,JPN,0:0:58:37
Phillips 66 International Team Trials 2022,58.37,4/29/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,7/3/1993,42,Greensboro,USA,0:0:58:37
Italian National Championships (50m),58.37,4/1/2021,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,43,Riccione,ITA,0:0:58:37
19th FINA World Championships Budapest 2022,58.39,6/25/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,52,Budapest,HUN,0:0:58:39
Phillips 66 International Team Trials 2022,58.39,4/29/2022,Women 100 Backstroke LCM Female,USA,United States of America,"CURZAN, Claire",F,6/30/2004,53,Greensboro,USA,0:0:58:39
15th FINA World Championships 2013,58.39,8/4/2013,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,54,Barcelona,ESP,0:0:58:39
Olympic Games London 2012,58.39,7/29/2012,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,55,London,GBR,0:0:58:39
19th FINA World Championships Budapest 2022,58.40,6/25/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,56,Budapest,HUN,0:0:58:40
19th FINA World Championships Budapest 2022,58.40,6/20/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,57,Budapest,HUN,0:0:58:40
58th International Trophy “Settecolli”,58.40,6/25/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,44,Rome,ITA,0:0:58:40
Canadian Swimming Trials 2022,58.41,4/5/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,58,Victoria,CAN,0:0:58:41
13th Pan Pacific Championships 2018,58.41,8/10/2018,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,59,Tokyo,JPN,0:0:58:41
British Championships 2016,58.41,4/12/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,45,Glasgow,GBR,0:0:58:41
SNSW State Open Championships 2021,58.42,3/19/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,60,Sydney,AUS,0:0:58:42
Canadian Swimming Trials 2017,58.42,4/6/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,61,Victoria,CAN,0:0:58:42
15th FINA World Championships 2013,58.42,7/30/2013,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,62,Barcelona,ESP,0:0:58:42
Olympic Games Tokyo 2020,58.43,7/27/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,63,Tokyo,JPN,0:0:58:43
Atlanta Classic 2021,58.43,5/15/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,64,Atlanta,USA,0:0:58:43
2011 Canada Cup,58.43,11/25/2011,Women 100 Backstroke LCM Female,CAN,Canada,"RUSSELL, Sinead",F,6/15/1993,65,Toronto,CAN,0:0:58:43
Antwerp Diamond Speedo Race,58.43,3/7/2020,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,46,Antwerp,BEL,0:0:58:43
European Championships 2021,58.44,5/20/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,66,Budapest,HUN,0:0:58:44
European Championships 2022,58.44,8/11/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,47,Rome,ITA,0:0:58:44
Olympic Games Tokyo 2020,58.45,7/27/2021,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,67,Tokyo,JPN,0:0:58:45
Counsilman Classic 2019,58.45,6/15/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,68,Indianapolis,USA,0:0:58:45
Olympic Games Rio 2016,58.45,8/8/2016,Women 100 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,69,Rio de Janeiro,BRA,0:0:58:45
European Championships 2021,58.45,5/17/2021,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,48,Budapest,HUN,0:0:58:45
Olympic Games Tokyo 2020,58.46,7/26/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,70,Tokyo,JPN,0:0:58:46
19th FINA World Championships Budapest 2022,58.46,6/18/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,49,Budapest,HUN,0:0:58:46
European Championships 2021,58.46,5/17/2021,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,8/2/1994,50,Budapest,HUN,0:0:58:46
18th FINA World Championships 2019,58.46,7/22/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11/12/1993,51,Gwangju,KOR,0:0:58:46
Olympic Games London 2012,58.46,7/29/2012,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,5/25/1988,52,London,GBR,0:0:58:46
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2021,58.47,6/6/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,53,Barcelona,ESP,0:0:58:47
Canadian Swimming Trials 2022,58.48,4/5/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,71,Victoria,CAN,0:0:58:48
May High Performance Test Event,58.48,5/7/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,72,Toronto,CAN,0:0:58:48
13th FINA World Championships 2009,58.48,7/27/2009,Women 100 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,5/8/1990,73,Rome,ITA,0:0:58:48
Australian National Championships (50m),58.49,5/20/2022,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,74,Adelaide,AUS,0:0:58:49
European Championships 2021,58.49,5/21/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,75,Budapest,HUN,0:0:58:49
Belarus National Championships (50m),58.49,4/17/2019,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,8/2/1994,54,Brest,BLR,0:0:58:49
16th FINA World Championships 2015,58.49,8/2/2015,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,5/25/1988,55,Kazan,RUS,0:0:58:49
US Olympic Team Trials - Wave II,58.50,6/14/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,10/12/1994,76,Omaha,USA,0:0:58:50
18th FINA World Championships 2019,58.50,7/22/2019,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,77,Gwangju,KOR,0:0:58:50
Olympic Games London 2012,58.50,8/4/2012,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,78,London,GBR,0:0:58:50
US Olympic Team Trials - Wave II,58.50,6/13/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,7/3/1993,56,Omaha,USA,0:0:58:50
British Swimming Championships (50m),58.50,4/16/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,57,Glasgow,GBR,0:0:58:50
FINA/airweave Swimming World Cup 2015,58.51,11/7/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,79,Dubai,UAE,0:0:58:51
Phillips 66 International Team Trials 2022,58.51,4/29/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,4/18/1999,58,Greensboro,USA,0:0:58:51
Swimmeet Amsterdam,58.52,7/3/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,59,Amsterdam,NED,0:0:58:52
Antwerp Diamond Speedo Race,58.52,3/7/2020,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,60,Antwerp,BEL,0:0:58:52
16th FINA World Championships 2015,58.52,8/3/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,61,Kazan,RUS,0:0:58:52
16th FINA World Championships 2015,58.52,8/2/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,62,Kazan,RUS,0:0:58:52
17th FINA World Championships 2017,58.53,7/30/2017,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,80,Budapest,HUN,0:0:58:53
26th International Meeting Uster 2018,58.54,2/4/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,81,Uster,SUI,0:0:58:54
17th FINA World Championships 2017,58.54,7/30/2017,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,82,Budapest,HUN,0:0:58:54
Counsilman Classic 2019,58.55,6/15/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,83,Indianapolis,USA,0:0:58:55
Canadian Swimming Trials 2019,58.55,4/3/2019,Women 100 Backstroke LCM Female,CAN,Canada,"RUCK, Taylor",F,5/28/2000,84,Toronto,CAN,0:0:58:55
19th FINA World Championships Budapest 2022,58.55,6/18/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,7/3/1993,63,Budapest,HUN,0:0:58:55
Olympic Games Tokyo 2020,58.56,7/26/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,85,Tokyo,JPN,0:0:58:56
TYR Pro Swim Series Des Moines 2020,58.56,3/7/2020,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,86,Des Moines,USA,0:0:58:56
16th FINA World Championships 2015,58.56,8/3/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,87,Kazan,RUS,0:0:58:56
British National Championships (50m),58.56,4/18/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,64,Sheffield,GBR,0:0:58:56
19th FINA World Championships Budapest 2022,58.57,6/19/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,88,Budapest,HUN,0:0:58:57
Mare Nostrum - Meeting International de Canet-en-Roussillon 2022,58.57,5/29/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,89,Canet en Roussillon,FRA,0:0:58:57
Hancock Prospecting Australian Swimming Trials 2021,58.57,6/13/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,90,Adelaide,AUS,0:0:58:57
US National Championships (50m),58.57,6/30/2017,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,91,Indianapolis,USA,0:0:58:57
Olympic Games London 2012,58.57,8/3/2012,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,92,London,GBR,0:0:58:57
Italian National Championships (50m),58.57,4/10/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,65,Milano,ITA,0:0:58:57
17th FINA World Championships 2017,58.58,7/25/2017,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,93,Budapest,HUN,0:0:58:58
British National Championships (50m),58.58,4/5/2022,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,66,Sheffield,GBR,0:0:58:58
European Championships 2021,58.58,5/18/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11/12/1993,67,Budapest,HUN,0:0:58:58
